Infecting,Infected,Infection Time,Simulation Time,Infection Rate
132,382,1,0.17187562705995216,1.0
132,389,1,0.17187562705995216,1.0
132,621,1,0.17187562705995216,1.0
132,623,1,0.17187562705995216,1.0
132,689,1,0.17187562705995216,1.0
132,696,1,0.17187562705995216,1.0
132,700,1,0.17187562705995216,1.0
132,719,1,0.17187562705995216,1.0
132,730,1,0.17187562705995216,1.0
132,774,1,0.17187562705995216,1.0
132,789,1,0.17187562705995216,1.0
132,790,1,0.17187562705995216,1.0
132,855,1,0.17187562705995216,1.0
132,900,1,0.17187562705995216,1.0
132,937,1,0.17187562705995216,1.0
325,21,1,0.1731002650000383,1.0
774,271,1,0.1735557835816611,1.0
774,330,1,0.1735557835816611,1.0
774,701,1,0.1735557835816611,1.0
774,711,1,0.1735557835816611,1.0
774,719,2,0.1735557835816611,1.0
774,733,1,0.1735557835816611,1.0
774,836,1,0.1735557835816611,1.0
774,843,1,0.1735557835816611,1.0
1,83,2,0.17694788959029872,1.0
1,276,2,0.17694788959029872,1.5
1,403,1,0.17694788959029872,1.5
1,511,2,0.17694788959029872,1.5
898,296,1,0.18264662462873535,1.5
293,227,1,0.18774460795539066,1.0
293,291,1,0.18774460795539066,1.0
293,581,1,0.18774460795539066,1.0
433,274,2,0.19651950282337308,1.0
433,816,1,0.19651950282337308,1.0
621,94,1,0.20308872313587623,1.0
621,147,1,0.20308872313587623,1.0
621,364,1,0.20308872313587623,1.0
621,533,1,0.20308872313587623,1.0
621,547,1,0.20308872313587623,1.0
621,564,1,0.20308872313587623,1.0
621,629,1,0.20308872313587623,1.0
621,638,1,0.20308872313587623,1.0
621,645,1,0.20308872313587623,1.0
621,704,1,0.20308872313587623,1.0
621,805,1,0.20308872313587623,1.0
621,877,1,0.20308872313587623,1.0
621,905,1,0.20308872313587623,1.0
414,679,2,0.20771411215284827,1.0
730,39,2,0.20937185240718434,1.0
730,161,2,0.20937185240718434,1.0
730,420,1,0.20937185240718434,1.0
730,585,1,0.20937185240718434,1.0
730,943,1,0.20937185240718434,1.0
834,82,1,0.22052672437762744,1.0
834,92,1,0.22052672437762744,1.0
834,97,1,0.22052672437762744,1.0
